key,nom,editeur,installs,avis,note,derniere_version_dc,cloud_meme_editeur,nb_alternatives,exemples
ch.mibex.bamboo.sonar4bamboo,Include Code Quality for Bamboo,Elevatic,551,24,4.69,2025-11-27,Include Code Quality for Bitbucket Cloud,3,"Include from Bitbucket to Confluence (Ma (19); Just Add+ Embed Markdown, Diagrams, & Co (50); AI Apps Builder for Jira (No-Code Way to (18)"
com.onresolve.stash.groovy.groovyrunner,ScriptRunner for Bitbucket,The Adaptavist Group,602,20,4.56,2026-09-11,ScriptRunner Connect Two-way Sync for Jira and ServiceNow,5,Issue Templates Pro - Description Templa (54); Google Drive Connector for Jira Automati (14); Revyz Command Center for Jira (Backup Co (19); SharePoint Connector for Jira Automation (19)
com.decadis.confluence.spaceadmin,Space Admin for Confluence,Decadis AG,351,36,5.0,2026-04-16,,5,SubSpace Navigation for Confluence (63); Space Templates & Content Templates for  (16); Custom Space User Management (CSUM) for  (17); Space Sync for Confluence (Copy & Publis (11)
com.decadis.confluence.lastlog,Last Log for Confluence,Decadis AG,516,13,4.81,2026-05-12,,0,
com.nearinfinity.confluence.survey-plugin,Survey and Vote Macros,Appfire,579,40,4.19,2026-09-15,,10,"Polls, Votes, Surveys & Community Networ (20); Multivote & Enterprise Survey for Conflu (32); Refined Macro Toolkit (Content Formattin (35); HTML Macro for Confluence (31)"
com.keplerrominfo.jira.plugins.databasecf,Power Database Fields,Appfire,440,59,4.49,2026-09-22,,16,Power Custom Fields for Jira (34); Power BI Connector for Jira (159); Power BI Connector - Connect Power BI an (59); Fields - Custom Fields for Jira (48)
com.miniorange.sso.saml.confluence-sso,Single Sign On SAML SSO for Confluence (SSO SAML)+User Sync,miniOrange,320,60,4.88,2026-09-18,Single Sign On SAML SSO for Jira (SSO SAML) + User Sync/SCIM,3,eSign Signatures for Jira (10); Approvals for Confluence (Page Review &  (21); Group Sign-Off: parallel Multi-Approvals (41)
com.pragbits.stash.stash2slack,Slack notifications for Bitbucket,votazz,545,40,4.22,2025-11-19,,9,Slack for Confluence (Chat Notifications (11); Task Reminder - Slack & Mail Notificatio (14); Slack Integration+ for Jira (77); Notification Assistant for Jira - Email (57)
org.andya.confluence.plugins.metadata,Comala Metadata,Appfire,519,22,4.49,2026-05-07,,8,"Metadata for Confluence (18); Metadata for Confluence Cloud (12); Properties - Templates, Metadata & Datab (17); Comala Document Management (175)"
com.stonikbyte.great.gadgets.server,Great Gadgets for Jira DC (Agile Charts Reports KPIs),StonikByte,402,15,4.92,2026-09-23,Great Gadgets for Confluence (Agile Charts Custom Reports),6,Countdown Gadget (11); Column Order Gadget (39); Universal Gadget for Jira (12); Quick Filters for Jira Dashboards (Chart (22)
com.porzelt.jira.darktheme.DarkTheme,DarkTheme,Maximilian Porzelt,496,28,4.38,2026-04-22,,0,
com.nolddor.jql-booster-pack,JQL Booster Pack,Sweet Bananas,331,17,5.0,2026-01-14,,4,JQL Search Extensions for Jira (51); GO! JQL: Essential JQL Functions (10); PR-Booster For Bitbucket (15); Service Pack for Agents (28)
de.resolution.apitokenauth.jira,API Token Authentication for Jira expand connection security,resolution Reichert Network Solutions GmbH,375,12,5.0,2026-08-27,,6,Enhanced API Authentication for Jira wit (15); Open API (Swagger) Integration (31); Visualize OpenAPI (Swagger) documentatio (21); External Data for Jira Fields (Connect R (86)
net.artemissoftware.confluence.flowboard.FlowBoard,Flow Board,Appfire,518,28,4.15,2026-09-15,,3,Flow Time Report – Time in Status for Ji (10); Advanced Kanban & Agile Boards: SAFe & W (17); Easy Agile Programs - PI Planning Progra (46)
com.idalko.jira.plugins.igrid,Table Grid Editor [Legacy Version],"Exalate: Integrations for Jira, Azure DevOps, Zendesk, Salesforce, GitHub, ServiceNow, ...",339,64,4.51,2026-09-14,Table Grid Next Generation,12,Excel-like Bulk Issue Editor for Jira (S (28); Source Editor for Confluence (25); Customfield Editor for Jira (29); Smart Tables for Confluence (Table Filte (17)
com.qotilabs.jira.collapsible-dashboard-sidebar-addon,Collapsible Dashboard Sidebar,Appfire,313,15,5.0,2026-08-17,,14,"Rich Filters for Jira Dashboards (185); eazyBI for Jira Reports, Charts, and Das (227); Dashboard Hub for Confluence (Reports, D (10); Custom Charts for Jira -Reports, Dashboa (139)"
com.arsenalesystems.dataplane,Dataplane Reports for Jira,Appfire,316,56,4.53,2026-08-13,,19,"eazyBI for Jira Reports, Charts, and Das (227); Reports and Timesheets for Jira (108); Reporting for Confluence (100); Worklogs - Time Tracking, Time Reports,  (101)"
ru.andreymarkelov.atlas.plugins.prom-jira-exporter,Prometheus Exporter PRO for Jira,Appfire,384,11,4.77,2026-08-11,,9,Scroll PDF Exporter for Confluence (228); Scroll Word Exporter for Confluence (136); Markdown Exporter for Confluence (22); Better Excel Exporter for Jira (254)
com.kintosoft.jira.subversion-plus,Subversion ALM,Kintosoft,505,32,3.87,2026-09-01,,1,Exalate (219)
at.celix.jira.plugins.servicedesk-queue-collapse,Q Collapse for Jira Service Management,Communardo Austria GmbH,425,21,4.29,2025-09-25,,13,Extension for Jira Service Management (150); Chat for Jira Service Management (57); Actions for Jira Service Management (36); Service Pack for Agents (28)
com.miniorange.twofactor.confluence-twofactor,mO 2FA for Confluence (Two Factor Authentication),miniOrange,233,26,5.0,2026-08-04,,5,"Fields - Custom Fields for Jira (48); Pivot Report: Roll Up Epic Issues, Workl (80); Single Sign On (SSO) via OAuth/OpenID fo (74); Single Sign On (SSO) via OAuth and OpenI (53)"
cr.tin.iframed.iframed-macro,Iframes for Confluence,Modus  Create,542,7,4.46,2026-09-08,Iframes for Jira Cloud,4,HTML Macro Pro for Confluence FREE - Emb (23); HTML Macro for Confluence (31); Navitabs - Navigation Macros for Conflue (45); External Share for Confluence (46)
com.javahollic.confluence.confluencesu,Switch User (SU) for Confluence,The Plugin People,461,13,4.33,2026-09-01,,10,User Management for Jira (bulk & timed i (25); Flexible User License - Auto User Manage (22); Flexible User License - Auto User Manage (17); User Profiles for Jira (Microsoft Attrib (26)
com.elitesoftsp.confluence.page.tracking.plugins,Page Views,EliteSoft,339,26,4.47,2026-06-19,,7,Tree View (10); Copy Page Tree (67); AutoPage (Creates pages in Confluence wi (15); KARMA Page Builder for Confluence (Conte (164)
org.swift.confluence.run,Run Self-Service Reports for Confluence,Appfire,304,13,4.9,2026-08-04,,9,Feature Bundle – Self-Service Extension  (51); Advanced Portal Reports for Jira Service (48); Smart Checklists for Jira (132); Actions for Jira Service Management (36)
com.cprime.confluence.power-scripts-confluence,Power Scripts for Confluence,Appfire,225,20,5.0,2026-09-23,Power Scripts - Jira Workflow Automation,9,ScriptRunner for Jira (826); Power BI Connector for Jira (159); ScriptRunner for Confluence (57); Power BI Connector - Connect Power BI an (59)
com.intenso.jira.plugins.translation.jsd-translation,Translation for Jira Service Management,Deviniti,308,24,4.53,2025-09-26,,11,Extension for Jira Service Management (150); Chat for Jira Service Management (57); Actions for Jira Service Management (36); Advanced Portal Reports for Jira Service (48)
de.codecentric.jira.wes,Workflow Essentials for Jira,codecentric AG,226,17,5.0,2026-01-30,,11,Jira Workflow Toolbox (540); Jira Misc Workflow Extensions (JMWE) (534); GO! JQL: Essential JQL Functions (10); JSU Automation Suite for Jira Workflows (298)
com.mohami.bitbucket.security-for-bitbucket,Security for Bitbucket Enhanced Secret Scanner by Soteri,Soteri,202,32,4.92,2026-09-22,,8,Security for Confluence PII & Secret Sca (15); Workflow Enhancer for Jira (43); Enhancer Plugin for Jira (70); Secure Fields - Data Security & Privacy  (30)
org.tmatesoft.subgit.stash-svn-importer,SVN Mirror for Bitbucket Server,TMate Software,246,64,4.49,2026-01-22,,5,"AURA Content Formatting Macros Tabs LaTe (212); SVG out (15); Easy Clone: Bulk Clone Issues, Epics & S (36); Space Sync for Confluence (Copy & Publis (11)"
com.shdsd.plugin.confluenceWatermark,Watermark for Confluence,DragonSoft,242,13,5.0,2026-01-08,,1,Contract Signatures for Confluence (10)
com.infosysta.jira.in-app-and-desktop-notifications-for-jira,Notifications in Jira (Desktop and Icon Alerts),Futurate,410,18,4.03,2026-07-16,,7,"Inbox for Jira (smart notifications) (21); Reminder for Jira (Follow-Ups, Deadlines (32); Notification Assistant for Jira - Email (57); Slack for Confluence (Chat Notifications (11)"
com.comalatech.adhoccanvas,Comala Boards for Confluence,Appfire,249,31,4.56,2026-09-14,Comala Boards for Confluence Cloud,5,Comala Document Management (175); Comala Publishing (40); Comala Canvas for Jira (25); Comala Document Control (24)
com.itlab.jira.plugins.extender,Extender for Jira,it.Lab,188,23,4.95,2026-09-16,,7,Extension for Jira Service Management (150); Jira Misc Workflow Extensions (JMWE) (534); JQL Search Extensions for Jira (51); My Requests Extension for Jira Service M (34)
com.stepstonetech.confluence.plugins.latex,LaTeX and MathJax,The Plugin People,416,17,3.9,2026-08-28,,4,"LaTeX Math+ for Confluence (33); LaTeX Math (40); AURA Content Formatting Macros Tabs LaTe (212); Mosaic: Content Formatting Macros, Tabs  (113)"
org.hakanai.jira.plugins.jirastatuscolor,Status Color for Jira,Brightsoft Apps,266,25,4.45,2026-02-16,,10,Time in Status (208); Status Time Reports Free - Time in Statu (58); Status Time Reports - Time in Status (53); Colored Label Manager - Smart Labels and (46)
release-management,"Release Management: Workflows, Calendar & Roadmaps - DC",Release Management,266,19,4.54,2026-09-23,"Release Management: Workflows, Calendar & Roadmaps for Jira",6,"Released Hub – AI Release Notes, Roadmap (39); Swanly: Portfolio Roadmaps Structure Gan (61); (AI powered) Automated Release Notes & R (48); Xray - Test Management for Jira (553)"
org.craftforge.jira.craftforge-jql-functions-plugin,Search Linked Issues,Addonrock Sp. z o.o.,370,33,3.79,2025-10-03,,4,"Tissue - Table of linked Issues (13); JQL Search Extensions for Jira (51); HubSpot CRM for Jira Report, Issue Link  (11); Link Management - Broken Link Detection  (10)"
org.swift.confluence.cache,Cache for Confluence,Appfire,267,9,4.86,2026-07-16,,3,Flow Time Report – Time in Status for Ji (10); Who is Online for Jira (16); Personal Checklist For Jira Cloud (Free) (14)
com.simplenia.stash.plugins.snippets,Snippets for Bitbucket,Appfire,222,24,4.64,2026-06-18,,5,GitHub Macros for Confluence (10); Jira Misc Workflow Extensions (JMWE) (534); HTML Macro for Confluence (31); GitHub & Jira integration (18)
com.brikit.themepress,Brikit Theme Press for Confluence,Brikit,179,34,4.77,2026-09-17,,11,"Theme Extension for Jira Service Managem (26); MANTRA Intranet | News Events Theme Mobi (100); Refined Sites for JSM (Theme ITSM, HR, H (55); Spacecraft Theme for Confluence Cloud –  (10)"
org.techtime.confluence.plugins.easysso,EasySSO for Confluence (Kerberos/NTLM/HTTP headers/SAML SSO),TechTime Initiative Group Limited,151,34,4.96,2026-09-01,,0,
org.techtime.jira.plugins.easysso,EasySSO for Jira (Kerberos/NTLM/HTTP headers/SAML SSO),TechTime Initiative Group Limited,149,37,4.93,2026-09-01,,0,
com.itlab.confluence.plugins.restapi-extender,Extender for Confluence,it.Lab,182,14,5.0,2026-08-18,,7,Extension for Jira Service Management (150); Jira Misc Workflow Extensions (JMWE) (534); JQL Search Extensions for Jira (51); My Requests Extension for Jira Service M (34)
com.almworks.structure.pages,Structure.Pages by Tempo - Add Confluence Pages to Structure,Tempo Software,401,3,5.0,2026-09-11,,14,"Structure by Tempo - Jira Portfolio Mana (408); Gantt Charts for Structure PPM - Jira Ro (61); Timesheets by Tempo - Jira Time Tracking (898); Issue Templates Agent (fields, structure (49)"
com.stiltsoft.confluence.talk.confluence-talk-plugin,Talk - Advanced Inline Comments,Stiltsoft Europe OÜ,229,29,4.4,2026-09-04,,7,SprintRetro Pro – Retrospective & Metric (15); Backbone Work Sync for Jira (Two Way Iss (72); Requirement Yogi - Requirements Manageme (37); Task Reminder - Slack & Mail Notificatio (14)
com.tse.jira.deactivateusers.plugin.jira-deactivate-users-plugin,Manage Inactive Users for Jira,ILA eSolution,178,14,5.0,2026-01-12,Manage Inactive Users for Confluence Cloud,5,User Management for Jira (bulk & timed i (25); Flexible User License - Auto User Manage (22); My User Manager for Jira (11); Flexible User License - Auto User Manage (17)
ru.andreymarkelov.atlas.plugins.prom-confluence-exporter,Prometheus Exporter PRO for Confluence,Appfire,286,9,4.58,2026-08-11,,9,Scroll PDF Exporter for Confluence (228); Scroll Word Exporter for Confluence (136); Markdown Exporter for Confluence (22); Better Excel Exporter for Jira (254)
com.intenso.jira.plugins.suiTest,TestFLO - Test Management for Jira,Deviniti,221,47,4.26,2026-09-18,,0,
com.mohamicorp.stash.plugin.editor-for-stash,Power Editor for Bitbucket,Appfire,211,35,4.39,2026-06-17,,11,Power BI Connector for Jira (159); Source Editor for Confluence (25); Power BI Connector - Connect Power BI an (59); Customfield Editor for Jira (29)
de.kontextwork.goedit.jira,GoEdit - Direct Attachment Edit for Jira,KontextWork,144,21,5.0,2026-04-08,GoEdit - Simply edit attachments!,10,SQL for Confluence (Pro Edition) (29); Workflow Enhancer for Jira (43); Group Sign-Off: parallel Multi-Approvals (41); Quantify TimeSpent (34)
com.k15t.scroll.scroll-translations,Scroll Translations for Confluence,K15t,292,15,4.17,2026-09-15,Translations for Scroll Content Manager,9,Scroll PDF Exporter for Confluence (228); Scroll Word Exporter for Confluence (136); Scroll Content Manager for Confluence (37); Lango AI Translator: Language & translat (33)
com.almworks.jira.colors.colors-plugin,Colors for Jira by Tempo - JQL-Based Highlighting in Jira,Tempo Software,283,7,4.64,2026-09-13,,7,Timesheets by Tempo - Jira Time Tracking (898); Colored Label Manager - Smart Labels and (46); Structure by Tempo - Jira Portfolio Mana (408); Spacecraft Theme for Confluence Cloud –  (10)
com.m20tech.tooltips,Tooltips,Sngular,342,12,3.96,2025-12-01,,8,"Scroll ImageMap for Confluence (12); Checklists for Jira (Pro) by HeroCoders (264); Mosaic: Content Formatting Macros, Tabs  (113); ScriptRunner for Jira (826)"
ru.teamlead.jira.plugins.agile-filters-for-jira,Agile Filters for Jira (Quick Filters by Users on Boards),Teamlead,212,18,4.51,2025-12-01,,15,"Rich Filters for Jira Dashboards (185); Table Filter, Charts & Spreadsheets for  (442); ActionableAgile® Analytics: Kanban/ Agil (32); Filters Activity Stream (22)"
com.tngtech.confluence.plugins.pdfmacros,PDF Macros for Confluence,TNG Technology Consulting GmbH,392,8,3.91,2026-09-10,,13,Scroll PDF Exporter for Confluence (228); Better PDF Exporter for Jira (467); Refined Macro Toolkit (Content Formattin (35); HTML Macro for Confluence (31)
com.akelesconsulting.jira.plugins.AttachmentChecker,Attachment Checker for Jira,Akeles Consulting,174,15,4.83,2026-09-23,,9,Bulk Attachment Download (12); Cenote Lockpoint - Attachment Checkout (29); GoEdit - Simply edit attachments! (102); Smart Attachments for Jira (File & Docum (80)
com.wombatscorp.jira-tokens,API Tokens for Jira,Wombats Corp,184,20,4.62,2026-04-27,,6,Open API (Swagger) Integration (31); Enhanced API Authentication for Jira wit (15); Visualize OpenAPI (Swagger) documentatio (21); External Data for Jira Fields (Connect R (86)
com.siemens.confluence.tagcloud,Tag Cloud for Confluence,TNG Technology Consulting GmbH,233,13,4.42,2026-09-10,,5,Time Tracker for Jira Cloud & DC (298); AI for Confluence Cloud (44); Cosmos - Intranet for Confluence Cloud (78); QC Documents for Confluence Cloud (13)
biz.everit.jira.epic-roadmap,Epic Roadmap for Jira (Project Timeline for Data Center),EverIT by catworkx,222,10,4.62,2026-02-18,,15,"Deep Clone for Jira (Copy Projects, Bulk (134); Gantt Charts for Structure PPM - Jira Ro (61); Release Management: Workflows, Calendar  (44); Aha! Roadmaps for Jira (357)"
sk.eea.jira.natural-searchers,Natural Searchers for Jira,"BOOTIQ SK, part of BiQ Group",258,8,4.53,2025-11-02,,7,"Smart Attachments for Jira (File & Docum (80); Zephyr - Test Management and Automation  (492); Agile User Story Map, Portfolio Roadmaps (143); SharePoint Connector for Confluence (27)"
com.balsamiq.jira.plugins.mockups,Balsamiq Wireframes for Jira Data Center,Balsamiq,226,30,4.04,2026-08-05,,7,"Balsamiq for Confluence Cloud | Wirefram (23); Balsamiq for Jira Cloud | Wireframes & p (24); Draw Wireframes, Mockup, Prototype & Dia (30); Draw UI Wireframes, Mockup, Prototype &  (13)"
de.communardo.plugin.stash-project-categories,Categories for Bitbucket,Elevatic,148,19,4.8,2026-03-26,,10,Multi Level & Tree Fields (25); Composition Tabs for Confluence (77); Clockwork Pro for Jira Time Tracking and (140); Smart Attachments for Jira (File & Docum (80)
com.resolution.atlasplugins.samlsso-bitbucket,SAML SSO Single Sign On for Bitbucket SSO OAuth + User Sync,resolution Reichert Network Solutions GmbH,188,12,4.69,2026-08-27,,11,Single Sign On SAML SSO for Jira (SSO SA (82); SAML/OAuth SSO for JSM Customers (19); Single Sign On (SSO) via OAuth and OpenI (53); Single Sign On (SSO) via OAuth/OpenID fo (74)
com.akelesconsulting.confluence.plugins.AttachmentChecker4CONF,Attachment Checker for Confluence,Akeles Consulting,140,13,5.0,2026-07-13,,9,Bulk Attachment Download (12); Cenote Lockpoint - Attachment Checkout (29); GoEdit - Simply edit attachments! (102); Smart Attachments for Jira (File & Docum (80)
net.utoolity.atlassian.bamboo.tasks-for-aws,Tasks for AWS (Bamboo),Utoolity,149,11,5.0,2026-09-01,,4,"draw.io Diagrams | UML, BPMN, AWS, ERD,  (1205); Task Hub for Jira (15); Task Reminder - Slack & Mail Notificatio (14); Easy Clone: Bulk Clone Issues, Epics & S (36)"
com.qotilabs.jira.rich-filters-time-tracking-dashboards,Rich Filters::Time Tracking Dashboards,Appfire,326,6,4.17,2026-07-08,Rich Filters for Jira Dashboards,6,"Table Filter, Charts & Spreadsheets for  (442); Filters Activity Stream (22); Quick Filters for Jira Dashboards (Chart (22); Smart Tables for Confluence (Table Filte (17)"
com.qotilabs.jira.rich-filters-service-desk-dashboards,Rich Filters::Service Management Dashboards,Appfire,362,2,5.0,2026-06-30,Rich Filters for Jira Dashboards,6,"Table Filter, Charts & Spreadsheets for  (442); Filters Activity Stream (22); Quick Filters for Jira Dashboards (Chart (22); Smart Tables for Confluence (Table Filte (17)"
ch.mibex.stash.templates,Repository Templates for Bitbucket,Elevatic,155,9,5.0,2026-02-24,,14,Templating.app🚀Project Templates & Issue (76); Issue Templates Pro - Description Templa (54); Space Templates & Content Templates for  (16); Easy Issue Templates for Jira (81)
net.artemissoftware.confluence.easyforms.EasyForms,Easy Forms for Confluence,Appfire,273,20,3.69,2026-09-17,,9,ConfiForms - Data Forms & Workflows for  (95); Dynamic Forms for Jira (58); Easy Issue Templates for Jira (81); Scaffolding Forms & Templates for Conflu (124)
